Map,MapIndex,NameSingle,NamePlural,?,Count,Adds,?,?,?,RewardXP,RewardGold,?,?,?,?,?,?,HP,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
7,22,Scorpion,Scorpions,1,2,1,6,0,0,125,100,5,2,1,16,9,16,28,2,1,4,7,2,1,0,0,13,2,252,1,2,255,3,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
7,23,Scorpion,Scorpions,0,1,2,6,0,0,130,115,5,3,1,20,10,21,40,4,1,4,7,2,2,0,0,13,2,254,1,2,0,4,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
7,24,Dire Wolf,Dire Wolves,1,2,3,30,0,0,115,25,3,2,1,16,7,15,18,2,1,0,7,1,2,0,0,2,1,1,0,2,255,2,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
7,25,Dire Wolf,Dire Wolves,0,2,2,25,0,0,120,25,3,3,1,20,8,25,21,10,2,2,6,1,4,255,0,2,2,2,0,2,0,3,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
7,26,Dire Wolf,Dire Wolves,1,3,1,20,0,0,120,30,3,3,1,20,8,25,21,10,2,2,6,1,4,255,0,2,2,2,0,2,0,3,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
7,27,Dire Wolf,Dire Wolves,0,2,1,15,0,0,125,35,3,3,1,25,10,50,30,15,3,2,6,1,4,255,0,2,3,2,0,2,0,5,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
7,28,Dire Wolf,Dire Wolves,0,1,2,15,0,0,120,35,3,3,1,25,10,50,30,15,3,2,6,1,4,255,0,2,3,2,0,2,0,5,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
7,29,Cobra,Cobras,0,2,2,15,0,0,125,35,4,7,1,45,22,120,900,9,11,0,2,3,5,3,0,16,255,12,2,3,0,12,0,21,6,8,10,8,10,1,6,1,6,1,7,4,7,20,5,6,6,10,6
7,30,Cobra,Cobras,1,2,1,15,0,0,125,40,4,7,1,45,22,120,900,9,11,0,2,3,5,3,0,16,255,12,2,3,0,12,0,21,6,8,10,8,10,1,6,1,6,1,7,4,7,20,5,6,6,10,6
7,31,Cobra,Cobras,1,1,2,15,0,0,125,40,4,7,1,45,22,120,900,9,11,0,2,3,5,3,0,16,255,12,2,3,0,12,0,21,6,8,10,8,10,1,6,1,6,1,7,4,7,20,5,6,6,10,6
7,32,Cobra,Cobras,0,2,1,12,0,0,130,50,4,7,2,60,25,160,1000,9,11,0,2,3,6,4,0,16,255,18,2,3,0,15,0,21,8,8,12,8,12,1,7,1,7,1,8,4,9,20,7,6,8,10,7
7,33,Cobra,Cobras,0,1,2,12,0,0,130,50,4,7,2,60,25,160,1000,9,11,0,2,3,6,4,0,16,255,18,2,3,0,15,0,21,8,8,12,8,12,1,7,1,7,1,8,4,9,20,7,6,8,10,7
7,34,Raptor,Raptors,0,2,2,25,0,0,140,75,4,5,1,25,14,30,75,6,2,3,5,2,2,3,0,3,0,5,0,19,1,3,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
7,35,Raptor,Raptors,1,2,2,25,0,0,140,75,4,5,1,25,14,30,75,6,2,3,5,2,2,3,0,3,0,5,0,19,1,3,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
7,36,Raptor,Raptors,0,2,1,20,0,0,145,85,4,6,1,36,16,40,200,8,3,2,4,2,3,2,0,3,1,8,0,20,254,20,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
7,37,Deinon,Deinons,0,2,2,20,0,0,170,100,4,6,1,44,18,54,300,9,3,2,4,2,3,3,0,3,1,10,0,20,254,25,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
7,38,Deinon,Deinons,0,1,3,30,0,0,170,100,4,6,1,44,18,54,300,9,3,2,4,2,3,3,0,3,1,10,0,20,254,25,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
7,39,Deinon,Deinons,1,1,2,30,0,0,200,125,4,6,1,44,18,54,300,9,3,2,4,2,3,3,0,3,1,10,0,20,254,25,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
8,0,Skeletal Warrior,Skeletal Warriors,1,4,2,15,0,15,120,125,5,6,2,60,19,145,400,5,6,0,2,3,0,250,1,3,2,18,0,18,4,6,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
8,1,Skeletal Warrior,Skeletal Warriors,2,3,2,15,0,20,120,125,5,6,2,60,19,145,400,5,6,0,2,3,0,250,1,3,2,18,0,18,4,6,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
8,2,Skeletal Warrior,Skeletal Warriors,0,3,2,18,0,15,125,125,5,6,2,70,20,180,600,5,6,0,2,3,0,249,1,3,2,36,0,18,4,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
8,3,Skeletal Warrior,Skeletal Warriors,1,2,2,18,0,20,125,125,5,6,2,70,20,180,600,5,6,0,2,3,0,249,1,3,2,36,0,18,4,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
8,4,Skeletal Warrior,Skeletal Warriors,0,2,1,25,0,25,130,125,5,6,2,70,20,180,600,5,6,0,2,3,0,249,1,3,2,36,0,18,4,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
8,5,Skeletal Warrior,Skeletal Warriors,1,3,1,15,0,20,120,125,5,6,2,60,19,145,400,5,6,0,2,3,0,250,1,3,2,18,0,18,4,6,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
8,6,Skeletal Warrior,Skeletal Warriors,2,2,2,15,0,25,120,125,5,6,2,60,19,145,400,5,6,0,2,3,0,250,1,3,2,18,0,18,4,6,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
8,7,Skeletal Warrior,Skeletal Warriors,0,2,1,18,0,20,125,125,5,6,2,70,20,180,600,5,6,0,2,3,0,249,1,3,2,36,0,18,4,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
8,8,Skeletal Warrior,Skeletal Warriors,1,1,2,18,0,25,125,125,5,6,2,70,20,180,600,5,6,0,2,3,0,249,1,3,2,36,0,18,4,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
8,9,Skeletal Warrior,Skeletal Warriors,0,1,1,25,0,25,130,125,5,6,2,70,20,180,600,5,6,0,2,3,0,249,1,3,2,36,0,18,4,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
8,10,Skeletal Warrior,Skeletal Warriors,1,2,2,15,0,20,120,125,5,6,2,60,19,145,400,5,6,0,2,3,0,250,1,3,2,18,0,18,4,6,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
8,11,Skeletal Warrior,Skeletal Warriors,2,2,1,15,0,25,120,125,5,6,2,60,19,145,400,5,6,0,2,3,0,250,1,3,2,18,0,18,4,6,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
8,12,Skeletal Warrior,Skeletal Warriors,0,1,2,18,0,20,125,125,5,6,2,70,20,180,600,5,6,0,2,3,0,249,1,3,2,36,0,18,4,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
8,13,Skeletal Warrior,Skeletal Warriors,1,1,1,18,0,25,125,125,5,6,2,70,20,180,600,5,6,0,2,3,0,249,1,3,2,36,0,18,4,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
8,14,Skeletal Warrior,Skeletal Warriors,0,1,0,25,0,25,130,125,5,6,2,70,20,180,600,5,6,0,2,3,0,249,1,3,2,36,0,18,4,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
8,15,Skeletal Warrior,Skeletal Warriors,1,3,2,15,0,20,120,125,5,6,2,60,19,145,400,5,6,0,2,3,0,250,1,3,2,18,0,18,4,6,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
8,16,Skeletal Warrior,Skeletal Warriors,2,2,3,15,0,25,120,125,5,6,2,60,19,145,400,5,6,0,2,3,0,250,1,3,2,18,0,18,4,6,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
8,17,Skeletal Warrior,Skeletal Warriors,0,2,2,18,0,20,125,125,5,6,2,70,20,180,600,5,6,0,2,3,0,249,1,3,2,36,0,18,4,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
8,18,Skeletal Warrior,Skeletal Warriors,1,1,2,18,0,25,125,125,5,6,2,70,20,180,600,5,6,0,2,3,0,249,1,3,2,36,0,18,4,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
8,19,Skeletal Warrior,Skeletal Warriors,0,1,1,25,0,25,130,125,5,6,2,70,20,180,600,5,6,0,2,3,0,249,1,3,2,36,0,18,4,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
8,20,Skeletal Warrior,Skeletal Warriors,1,2,2,15,0,25,120,125,5,6,2,60,19,145,400,5,6,0,2,3,0,250,1,3,2,18,0,18,4,6,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
8,21,Skeletal Warrior,Skeletal Warriors,2,2,1,15,0,25,120,125,5,6,2,60,19,145,400,5,6,0,2,3,0,250,1,3,2,18,0,18,4,6,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
8,22,Skeletal Warrior,Skeletal Warriors,0,1,2,18,0,20,125,125,5,6,2,70,20,180,600,5,6,0,2,3,0,249,1,3,2,36,0,18,4,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
8,23,Skeletal Warrior,Skeletal Warriors,1,1,1,18,0,25,125,125,5,6,2,70,20,180,600,5,6,0,2,3,0,249,1,3,2,36,0,18,4,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
8,24,Large-Un,Large-Uns,1,4,3,30,0,0,170,175,9,8,1,60,21,700,6000,120,14,0,1,2,255,40,0,3,4,15,0,5,252,175,0,6,12,4,11,1,8,1,12,0,11,3,9,2,8,12,11,10,12,4,7
8,25,Large-Un,Large-Uns,2,3,3,30,0,0,170,175,9,8,1,60,21,700,6000,120,14,0,1,2,255,40,0,3,4,15,0,5,252,175,0,6,12,4,11,1,8,1,12,0,11,3,9,2,8,12,11,10,12,4,7
8,26,Large-Un,Large-Uns,1,3,2,27,0,15,180,185,9,8,1,60,21,700,6000,120,14,0,1,2,255,40,0,3,4,15,0,5,252,175,0,6,12,4,11,1,8,1,12,0,11,3,9,2,8,12,12,10,12,4,7
8,27,Large-Un,Large-Uns,0,2,2,25,0,15,190,200,9,8,1,60,21,700,6000,120,14,0,1,2,255,40,0,3,4,15,0,5,252,175,0,6,12,4,11,1,8,1,12,0,11,3,9,2,8,12,12,10,12,4,7
8,28,Large-Un,Large-Uns,1,3,3,30,0,0,170,175,9,8,1,60,21,700,6000,120,14,0,1,2,255,40,0,3,4,15,0,5,252,175,0,6,12,4,11,1,8,1,12,0,11,3,9,2,8,12,11,10,12,4,7
8,29,Large-Un,Large-Uns,2,2,3,30,0,0,170,175,9,8,1,60,21,700,6000,120,14,0,1,2,255,40,0,3,4,15,0,5,252,175,0,6,12,4,11,1,8,1,12,0,11,3,9,2,8,12,11,10,12,4,7
8,30,Large-Un,Large-Uns,1,2,2,27,0,0,180,185,9,8,1,60,21,700,6000,120,14,0,1,2,255,40,0,3,4,15,0,5,252,175,0,6,12,4,11,1,8,1,12,0,11,3,9,2,8,12,12,10,12,4,7
8,31,Large-Un,Large-Uns,0,2,2,25,0,0,190,200,9,8,1,60,21,700,6000,120,14,0,1,2,255,40,0,3,4,15,0,5,252,175,0,6,12,4,11,1,8,1,12,0,11,3,9,2,8,12,12,10,12,4,7
8,32,Lizardite,Lizardites,0,4,2,30,0,0,175,235,8,7,1,50,22,600,3400,175,14,0,2,2,255,18,0,42,1,10,0,42,4,8,0,6,10,1,9,4,7,4,9,3,8,1,9,9,9,2,6,0,8,20,6
8,33,Lizardite,Lizardites,0,3,3,30,0,0,175,235,8,7,1,50,22,600,3400,175,14,0,2,2,255,18,0,42,1,10,0,42,4,8,0,6,10,1,9,4,7,4,9,3,8,1,9,9,9,2,6,0,8,20,6
8,34,Lizardite,Lizardites,0,2,4,30,0,0,175,235,8,7,1,50,22,600,3400,175,14,0,2,2,255,18,0,42,1,10,0,42,4,8,0,6,10,1,9,4,7,4,9,3,8,1,9,9,9,2,6,0,8,20,6
8,35,Lizardite,Lizardites,0,3,2,30,0,0,175,235,8,7,1,50,22,600,3400,175,14,0,2,2,255,18,0,42,1,10,0,42,4,8,0,6,10,1,9,4,7,4,9,3,8,1,9,9,9,2,6,0,8,20,6
8,36,Lizardite,Lizardites,0,2,3,30,0,10,175,235,8,7,1,50,22,600,3400,175,14,0,2,2,255,18,0,42,1,10,0,42,4,8,0,6,10,1,9,4,7,4,9,3,8,1,9,9,9,2,6,0,8,20,6
8,37,Lizardite,Lizardites,0,1,4,30,0,10,175,235,8,7,1,50,22,600,3400,175,14,0,2,2,255,18,0,42,1,10,0,42,4,8,0,6,10,1,9,4,7,4,9,3,8,1,9,9,9,2,6,0,8,20,6
8,38,Lizardite,Lizardites,0,2,2,30,0,10,175,235,8,7,1,50,22,600,3400,175,14,0,2,2,255,18,0,42,1,10,0,42,4,8,0,6,10,1,9,4,7,4,9,3,8,1,9,9,9,2,6,0,8,20,6
8,39,Lizardite,Lizardites,0,1,5,30,0,10,175,235,8,7,1,50,22,600,3400,175,14,0,2,2,255,18,0,42,1,10,0,42,4,8,0,6,10,1,9,4,7,4,9,3,8,1,9,9,9,2,6,0,8,20,6
9,0,Hobgoblin,Hobgoblins,0,4,2,60,10,18,160,125,12,2,1,33,17,75,160,2,4,3,9,92,0,16,0,92,1,10,0,92,3,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
9,1,Hobgoblin,Hobgoblins,1,3,2,55,10,18,165,130,12,2,1,33,17,75,160,2,4,3,9,92,0,16,0,92,1,10,0,92,3,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
9,2,Hobgoblin,Hobgoblins,1,2,3,55,10,18,165,130,12,2,1,33,17,75,160,2,4,3,9,92,0,16,0,92,1,10,0,92,3,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
9,3,Hobgoblin,Hobgoblins,0,2,2,50,10,18,175,140,12,3,1,40,18,100,400,2,5,0,9,41,255,18,0,41,1,8,0,41,4,4,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
9,4,Hobgoblin,Hobgoblins,0,3,3,60,10,18,160,125,12,2,1,33,17,75,160,2,4,3,9,92,0,16,0,92,1,10,0,92,3,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
9,5,Hobgoblin,Hobgoblins,1,2,3,55,10,18,165,130,12,2,1,33,17,75,160,2,4,3,9,92,0,16,0,92,1,10,0,92,3,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
9,6,Hobgoblin,Hobgoblins,1,4,1,55,20,18,165,130,12,2,1,33,17,75,160,2,4,3,9,92,0,16,0,92,1,10,0,92,3,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
9,7,Hobgoblin,Hobgoblins,0,3,1,50,20,18,175,140,12,3,1,40,18,100,400,2,5,0,9,41,255,18,0,41,1,8,0,41,4,4,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
9,8,Hobgoblin,Hobgoblins,0,5,1,60,20,18,160,125,12,2,1,33,17,75,160,2,4,3,9,92,0,16,0,92,1,10,0,92,3,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
9,9,Hobgoblin,Hobgoblins,1,2,3,55,20,18,165,130,12,2,1,33,17,75,160,2,4,3,9,92,0,16,0,92,1,10,0,92,3,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
9,10,Hobgoblin,Hobgoblins,1,3,1,55,20,18,165,130,12,2,1,33,17,75,160,2,4,3,9,92,0,16,0,92,1,10,0,92,3,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
9,11,Hobgoblin,Hobgoblins,0,1,2,50,20,18,175,140,12,3,1,40,18,100,400,2,5,0,9,41,255,18,0,41,1,8,0,41,4,4,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
9,12,Hobgoblin,Hobgoblins,0,3,2,60,20,18,160,125,12,2,1,33,17,75,160,2,4,3,9,92,0,16,0,92,1,10,0,92,3,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
9,13,Hobgoblin,Hobgoblins,1,2,3,55,20,18,165,130,12,2,1,33,17,75,160,2,4,3,9,92,0,16,0,92,1,10,0,92,3,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
9,14,Hobgoblin,Hobgoblins,1,3,1,55,20,18,165,130,12,2,1,33,17,75,160,2,4,3,9,92,0,16,0,92,1,10,0,92,3,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
9,15,Hobgoblin,Hobgoblins,0,2,2,50,20,18,175,140,12,3,1,40,18,100,400,2,5,0,9,41,255,18,0,41,1,8,0,41,4,4,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
9,16,Hobgoblin,Hobgoblins,0,4,2,60,25,18,160,125,12,2,1,33,17,75,160,2,4,3,9,92,0,16,0,92,1,10,0,92,3,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
9,17,Hobgoblin,Hobgoblins,1,3,3,55,25,18,165,130,12,2,1,33,17,75,160,2,4,3,9,92,0,16,0,92,1,10,0,92,3,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
9,18,Hobgoblin,Hobgoblins,1,3,1,55,25,18,165,130,12,2,1,33,17,75,160,2,4,3,9,92,0,16,0,92,1,10,0,92,3,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
9,19,Hobgoblin,Hobgoblins,0,2,2,50,25,18,175,140,12,3,1,40,18,100,400,2,5,0,9,41,255,18,0,41,1,8,0,41,4,4,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
9,20,Hobgoblin,Hobgoblins,0,3,2,60,25,18,160,125,12,2,1,33,17,75,160,2,4,3,9,92,0,16,0,92,1,10,0,92,3,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
9,21,Hobgoblin,Hobgoblins,1,4,0,55,25,18,165,130,12,2,1,33,17,75,160,2,4,3,9,92,0,16,0,92,1,10,0,92,3,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
9,22,Hobgoblin,Hobgoblins,1,3,1,55,25,18,165,130,12,2,1,33,17,75,160,2,4,3,9,92,0,16,0,92,1,10,0,92,3,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
9,23,Hobgoblin,Hobgoblins,0,3,2,50,25,18,175,140,12,3,1,40,18,100,400,2,5,0,9,41,255,18,0,41,1,8,0,41,4,4,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
9,24,Silver Ogre,Silver Ogres,0,3,3,50,0,20,150,160,1,4,2,44,18,94,240,16,9,2,3,40,6,5,0,40,2,8,0,40,1,12,0,8,9,6,8,1,5,11,6,10,4,20,4,8,7,6,6,1,4,11,6
9,25,Silver Ogre,Silver Ogres,1,3,2,50,0,20,160,170,1,4,2,44,18,94,240,16,9,2,3,40,6,5,0,40,2,8,0,40,1,12,0,8,9,6,8,1,5,11,6,10,4,20,4,8,7,6,6,1,4,11,6
9,26,Silver Ogre,Silver Ogres,0,2,2,45,0,20,160,170,1,4,2,44,18,94,240,16,9,2,3,40,6,5,0,40,2,8,0,40,1,12,0,8,9,6,8,1,5,11,6,10,4,20,4,8,7,6,6,1,4,11,6
9,27,Silver Ogre,Silver Ogres,1,1,2,45,0,20,170,180,1,4,2,44,18,94,240,16,9,2,3,40,6,5,0,40,2,8,0,40,1,12,0,8,9,6,8,1,5,11,6,10,4,20,4,8,7,6,6,1,4,11,6
9,28,Silver Ogre,Silver Ogres,0,1,1,40,0,20,170,175,1,4,2,44,18,94,240,16,9,2,3,40,6,5,0,40,2,8,0,40,1,12,0,8,9,6,8,1,5,11,6,10,4,20,4,8,7,6,6,1,4,11,6
9,29,Spinorpion,Spinorpions,0,2,3,25,0,0,190,200,5,4,1,24,11,30,60,4,1,3,5,2,2,2,0,13,4,254,1,2,1,6,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
9,30,Spinorpion,Spinorpions,0,4,1,20,0,0,190,200,5,4,1,24,11,30,60,4,1,3,5,2,2,2,0,13,4,254,1,2,1,6,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
9,31,Spinorpion,Spinorpions,1,2,2,17,0,0,200,225,5,4,1,24,11,30,60,4,1,3,5,2,2,2,0,13,4,254,1,2,1,6,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
9,32,Spinorpion,Spinorpions,1,3,1,17,0,0,200,225,5,4,1,24,11,30,60,4,1,3,5,2,2,2,0,13,4,254,1,2,1,6,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
9,33,Spinorpion,Spinorpions,0,1,2,14,0,0,215,250,5,4,1,28,12,45,100,6,2,3,5,2,3,2,0,13,2,0,1,2,2,2,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
9,34,Pincer Cobra,Pincer Cobras,0,2,2,10,0,0,280,215,4,7,2,60,25,160,1000,9,11,0,2,3,6,4,0,16,255,18,2,3,0,15,0,21,8,8,12,8,12,1,7,1,7,1,8,4,9,20,7,6,8,10,7
9,35,Pincer Cobra,Pincer Cobras,1,3,2,10,0,0,280,215,4,7,2,60,25,160,1000,9,11,0,2,3,6,4,0,16,255,18,2,3,0,15,0,21,8,8,12,8,12,1,7,1,7,1,8,4,9,20,7,6,8,10,7
9,36,Pincer Cobra,Pincer Cobras,1,2,1,10,0,0,280,215,4,7,2,60,25,160,1000,9,11,0,2,3,6,4,0,16,255,18,2,3,0,15,0,21,8,8,12,8,12,1,7,1,7,1,8,4,9,20,7,6,8,10,7
9,37,Pincer Cobra,Pincer Cobras,0,2,1,10,0,0,280,215,4,7,2,60,25,160,1000,9,11,0,2,3,6,4,0,16,255,18,2,3,0,15,0,21,8,8,12,8,12,1,7,1,7,1,8,4,9,20,7,6,8,10,7
9,38,Pincer Cobra,Pincer Cobras,1,1,1,10,0,0,280,215,4,7,2,60,25,160,1000,9,11,0,2,3,6,4,0,16,255,18,2,3,0,15,0,21,8,8,12,8,12,1,7,1,7,1,8,4,9,20,7,6,8,10,7
9,39,Pincer Cobra,Pincer Cobras,2,1,1,10,0,0,280,215,4,7,2,60,25,160,1000,9,11,0,2,3,6,4,0,16,255,18,2,3,0,15,0,21,8,8,12,8,12,1,7,1,7,1,8,4,9,20,7,6,8,10,7
10,0,Minotaur,Minotaurs,1,3,1,50,0,10,130,400,7,5,1,75,23,160,850,9,8,0,2,1,5,16,0,1,0,5,1,1,254,65,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
10,1,Minotaur,Minotaurs,0,3,2,45,0,15,145,425,7,5,1,75,23,160,850,9,8,0,2,1,5,16,0,1,0,5,1,1,254,65,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
10,2,Minotaur,Minotaurs,1,2,2,45,0,20,145,425,7,5,1,75,23,160,850,9,8,0,2,1,5,16,0,1,0,5,1,1,254,65,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
10,3,Minotaur,Minotaurs,0,2,1,40,0,20,160,450,7,5,1,75,23,160,850,9,8,0,2,1,5,16,0,1,0,5,1,1,254,65,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
10,4,Minotaur,Minotaurs,1,3,1,50,0,15,130,400,7,5,1,75,23,160,850,9,8,0,2,1,5,16,0,1,0,5,1,1,254,65,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
10,5,Minotaur,Minotaurs,0,3,2,45,0,15,145,425,7,5,1,75,23,160,850,9,8,0,2,1,5,16,0,1,0,5,1,1,254,65,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
10,6,Minotaur,Minotaurs,1,2,2,45,0,20,145,425,7,5,1,75,23,160,850,9,8,0,2,1,5,16,0,1,0,5,1,1,254,65,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
10,7,Minotaur,Minotaurs,0,2,1,40,0,20,160,450,7,5,1,75,23,160,850,9,8,0,2,1,5,16,0,1,0,5,1,1,254,65,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
10,8,Minotaur,Minotaurs,1,2,1,50,0,15,130,400,7,5,1,75,23,160,850,9,8,0,2,1,5,16,0,1,0,5,1,1,254,65,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
10,9,Minotaur,Minotaurs,0,3,1,45,0,15,145,425,7,5,1,75,23,160,850,9,8,0,2,1,5,16,0,1,0,5,1,1,254,65,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
10,10,Minotaur,Minotaurs,1,3,2,45,0,20,145,425,7,5,1,75,23,160,850,9,8,0,2,1,5,16,0,1,0,5,1,1,254,65,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
10,11,Minotaur,Minotaurs,0,2,2,40,0,20,160,450,7,5,1,75,23,160,850,9,8,0,2,1,5,16,0,1,0,5,1,1,254,65,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
10,12,Minotaur,Minotaurs,1,2,1,50,0,10,130,400,7,5,1,75,23,160,850,9,8,0,2,1,5,16,0,1,0,5,1,1,254,65,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
10,13,Minotaur,Minotaurs,0,2,1,45,0,15,145,425,7,5,1,75,23,160,850,9,8,0,2,1,5,16,0,1,0,5,1,1,254,65,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
10,14,Minotaur,Minotaurs,1,3,1,45,0,20,145,425,7,5,1,75,23,160,850,9,8,0,2,1,5,16,0,1,0,5,1,1,254,65,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
10,15,Minotaur,Minotaurs,0,3,2,40,0,20,160,450,7,5,1,75,23,160,850,9,8,0,2,1,5,16,0,1,0,5,1,1,254,65,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
